SR Number,Status,Sub Status
1-503573772,Queued,Awaiting Assignment
1-503573772,Accepted,In Progress
1-503573772,Queued,Awaiting Assignment
1-503573772,Accepted,In Progress
1-503573772,Accepted,In Progress
1-503573772,Queued,Awaiting Assignment
1-503573772,Accepted,In Progress
1-503573772,Accepted,Wait
1-503573772,Accepted,In Progress
1-503573772,Completed,Resolved
1-503573772,Completed,Closed
1-504538555,Accepted,In Progress
1-504538555,Accepted,In Progress
1-504538555,Queued,Awaiting Assignment
1-504538555,Accepted,In Progress
1-504538555,Queued,Awaiting Assignment
1-504538555,Accepted,In Progress
1-504538555,Accepted,Assigned
1-504538555,Accepted,In Progress
1-504538555,Queued,Awaiting Assignment
1-504538555,Accepted,In Progress
1-504538555,Queued,Awaiting Assignment
1-504538555,Accepted,In Progress
1-504538555,Queued,Awaiting Assignment
1-504538555,Accepted,In Progress
1-504538555,Accepted,Wait - Implementation
1-504538555,Accepted,In Progress
1-504538555,Accepted,In Progress
1-504538555,Completed,Resolved
1-504538555,Completed,Closed
1-506071646,Accepted,In Progress
1-506071646,Accepted,In Progress
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Accepted,Wait - User
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Accepted,Wait - User
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Accepted,Wait - User
1-506071646,Accepted,In Progress
1-506071646,Accepted,Assigned
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Accepted,Wait - User
1-506071646,Accepted,In Progress
1-506071646,Accepted,Wait - User
1-506071646,Accepted,In Progress
1-506071646,Accepted,In Progress
1-506071646,Accepted,Wait - User
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Accepted,Wait - User
1-506071646,Accepted,In Progress
1-506071646,Accepted,In Progress
1-506071646,Accepted,Wait - User
1-506071646,Accepted,In Progress
1-506071646,Queued,Awaiting Assignment
1-506071646,Accepted,In Progress
1-506071646,Accepted,In Progress
1-506071646,Completed,Resolved
1-506071646,Completed,Closed
1-512795200,Accepted,In Progress
1-512795200,Accepted,In Progress
1-512795200,Queued,Awaiting Assignment
1-512795200,Accepted,In Progress
1-512795200,Accepted,Assigned
1-512795200,Accepted,In Progress
1-512795200,Accepted,Wait - User
1-512795200,Completed,Resolved
1-512795200,Accepted,Assigned
1-512795200,Accepted,In Progress
1-512795200,Queued,Awaiting Assignment
1-512795200,Accepted,In Progress
1-512795200,Accepted,Assigned
1-512795200,Accepted,In Progress
1-512795200,Accepted,Wait - User
1-512795200,Accepted,In Progress
1-512795200,Accepted,Wait - User
1-512795200,Accepted,Assigned
1-512795200,Accepted,In Progress
1-512795200,Accepted,Wait - User
1-512795200,Accepted,Assigned
1-512795200,Accepted,In Progress
1-512795200,Accepted,Wait - User
1-512795200,Accepted,In Progress
1-512795200,Accepted,Wait - User
1-512795200,Accepted,Assigned
1-512795200,Accepted,In Progress
1-512795200,Accepted,Assigned
1-512795200,Accepted,In Progress
1-512795200,Accepted,Wait - User
1-512795200,Completed,Resolved
1-512795200,Completed,Closed
1-516553982,Accepted,In Progress
1-516553982,Accepted,In Progress
1-516553982,Queued,Awaiting Assignment
1-516553982,Accepted,In Progress
1-516553982,Queued,Awaiting Assignment
1-516553982,Accepted,In Progress
1-516553982,Accepted,Wait - User
1-516553982,Accepted,In Progress
1-516553982,Accepted,Wait - User
1-516553982,Accepted,In Progress
1-516553982,Queued,Awaiting Assignment
1-516553982,Accepted,In Progress
1-516553982,Queued,Awaiting Assignment
1-516553982,Accepted,In Progress
1-516553982,Queued,Awaiting Assignment
1-516553982,Accepted,In Progress
1-516553982,Queued,Awaiting Assignment
1-516553982,Accepted,In Progress
1-516553982,Accepted,In Progress
1-516553982,Completed,Resolved
1-516553982,Completed,Closed
1-522528740,Accepted,In Progress
1-522528740,Accepted,In Progress
1-522528740,Queued,Awaiting Assignment
1-522528740,Accepted,In Progress
1-522528740,Queued,Awaiting Assignment
1-522528740,Accepted,In Progress
1-522528740,Accepted,Assigned
1-522528740,Accepted,In Progress
1-522528740,Queued,Awaiting Assignment
1-522528740,Accepted,In Progress
1-522528740,Accepted,Wait - Implementation
1-522528740,Accepted,In Progress
1-522528740,Completed,Resolved
1-522528740,Completed,Closed
1-523391859,Accepted,In Progress
1-523391859,Accepted,In Progress
1-523391859,Accepted,Wait - Vendor
1-523391859,Accepted,In Progress
1-523391859,Accepted,Wait - User
1-523391859,Accepted,In Progress
1-523391859,Completed,Resolved
1-523391859,Completed,Closed
1-529067006,Accepted,In Progress
1-529067006,Accepted,In Progress
1-529067006,Queued,Awaiting Assignment
1-529067006,Accepted,In Progress
1-529067006,Queued,Awaiting Assignment
1-529067006,Accepted,In Progress
1-529067006,Accepted,Wait - User
1-529067006,Accepted,In Progress
1-529067006,Queued,Awaiting Assignment
1-529067006,Accepted,In Progress
1-529067006,Queued,Awaiting Assignment
1-529067006,Accepted,In Progress
1-529067006,Queued,Awaiting Assignment
1-529067006,Accepted,In Progress
1-529067006,Accepted,Assigned
1-529067006,Accepted,In Progress
1-529067006,Accepted,In Progress
1-529067006,Completed,Resolved
1-529067006,Completed,Closed
1-529096847,Accepted,In Progress
1-529096847,Accepted,In Progress
1-529096847,Queued,Awaiting Assignment
1-529096847,Accepted,In Progress
1-529096847,Queued,Awaiting Assignment
1-529096847,Accepted,In Progress
1-529096847,Accepted,Wait - User
1-529096847,Accepted,In Progress
1-529096847,Queued,Awaiting Assignment
1-529096847,Accepted,In Progress
1-529096847,Accepted,Assigned
1-529096847,Accepted,In Progress
1-529096847,Queued,Awaiting Assignment
1-529096847,Accepted,In Progress
1-529096847,Accepted,Wait - User
1-529096847,Accepted,In Progress
1-529096847,Accepted,Wait - User
1-529096847,Accepted,In Progress
1-529096847,Queued,Awaiting Assignment
1-529096847,Accepted,In Progress
1-529096847,Accepted,Assigned
1-529096847,Accepted,In Progress
1-529096847,Queued,Awaiting Assignment
1-529096847,Accepted,In Progress
1-529096847,Accepted,Assigned
1-529096847,Accepted,In Progress
1-529096847,Accepted,Wait - User
1-529096847,Accepted,Wait - User
1-529096847,Accepted,Wait - User
1-529096847,Accepted,Wait - User
1-529096847,Accepted,In Progress
1-529096847,Accepted,Wait
1-529096847,Accepted,In Progress
1-529096847,Queued,Awaiting Assignment
1-529096847,Accepted,In Progress
1-529096847,Queued,Awaiting Assignment
1-529096847,Accepted,In Progress
1-529096847,Queued,Awaiting Assignment
1-529096847,Accepted,In Progress
1-529096847,Queued,Awaiting Assignment
1-529096847,Accepted,In Progress
1-529096847,Accepted,Wait - User
1-529096847,Accepted,In Progress
1-529096847,Queued,Awaiting Assignment
1-529096847,Accepted,In Progress
1-529096847,Queued,Awaiting Assignment
1-529096847,Accepted,In Progress
1-529096847,Queued,Awaiting Assignment
1-529096847,Accepted,In Progress
1-529096847,Accepted,In Progress
1-529096847,Completed,Resolved
1-529096847,Completed,Closed
1-530458987,Accepted,In Progress
1-530458987,Accepted,In Progress
1-530458987,Queued,Awaiting Assignment
1-530458987,Accepted,In Progress
1-530458987,Queued,Awaiting Assignment
1-530458987,Accepted,In Progress
1-530458987,Accepted,Wait - User
1-530458987,Accepted,Wait - User
1-530458987,Accepted,In Progress
1-530458987,Queued,Awaiting Assignment
1-530458987,Accepted,In Progress
1-530458987,Queued,Awaiting Assignment
1-530458987,Accepted,In Progress
1-530458987,Accepted,Wait - User
1-530458987,Accepted,In Progress
1-530458987,Queued,Awaiting Assignment
1-530458987,Accepted,In Progress
1-530458987,Accepted,Assigned
1-530458987,Accepted,In Progress
1-530458987,Queued,Awaiting Assignment
1-530458987,Accepted,In Progress
1-530458987,Queued,Awaiting Assignment
1-530458987,Accepted,In Progress
1-530458987,Accepted,Assigned
1-530458987,Accepted,In Progress
1-530458987,Completed,Resolved
1-530458987,Accepted,In Progress
1-530458987,Accepted,Wait
1-530458987,Accepted,In Progress
1-530458987,Completed,Resolved
1-530458987,Completed,Closed
1-530772502,Accepted,In Progress
1-530772502,Accepted,In Progress
1-530772502,Queued,Awaiting Assignment
1-530772502,Accepted,In Progress
1-530772502,Queued,Awaiting Assignment
1-530772502,Accepted,In Progress
1-530772502,Queued,Awaiting Assignment
1-530772502,Accepted,In Progress
1-530772502,Accepted,Assigned
1-530772502,Accepted,In Progress
1-530772502,Queued,Awaiting Assignment
1-530772502,Accepted,In Progress
1-530772502,Completed,Resolved
1-530772502,Completed,Closed
1-530838254,Accepted,In Progress
1-530838254,Accepted,In Progress
1-530838254,Queued,Awaiting Assignment
1-530838254,Accepted,In Progress
1-530838254,Queued,Awaiting Assignment
1-530838254,Accepted,In Progress
1-530838254,Accepted,Wait - User
1-530838254,Queued,Awaiting Assignment
1-530838254,Queued,Awaiting Assignment
1-530838254,Accepted,In Progress
1-530838254,Accepted,Wait
1-530838254,Accepted,In Progress
1-530838254,Completed,Resolved
1-530838254,Queued,Awaiting Assignment
1-530838254,Accepted,In Progress
1-530838254,Queued,Awaiting Assignment
1-530838254,Accepted,In Progress
1-530838254,Queued,Awaiting Assignment
1-530838254,Accepted,In Progress
1-530838254,Accepted,Assigned
1-530838254,Accepted,In Progress
1-530838254,Queued,Awaiting Assignment
1-530838254,Accepted,In Progress
1-530838254,Accepted,Assigned
1-530838254,Accepted,In Progress
1-530838254,Accepted,Wait - User
1-530838254,Queued,Awaiting Assignment
1-530838254,Accepted,In Progress
1-530838254,Queued,Awaiting Assignment
1-530838254,Accepted,In Progress
1-530838254,Accepted,Assigned
1-530838254,Accepted,In Progress
1-530838254,Queued,Awaiting Assignment
1-530838254,Accepted,In Progress
1-530838254,Accepted,Assigned
1-530838254,Accepted,Assigned
1-530838254,Accepted,In Progress
1-530838254,Queued,Awaiting Assignment
1-530838254,Accepted,In Progress
1-530838254,Accepted,Wait
1-530838254,Accepted,In Progress
1-530838254,Completed,Resolved
1-530838254,Completed,Closed
1-532109338,Accepted,In Progress
1-532109338,Accepted,In Progress
1-532109338,Queued,Awaiting Assignment
1-532109338,Accepted,In Progress
1-532109338,Queued,Awaiting Assignment
1-532109338,Accepted,In Progress
1-532109338,Queued,Awaiting Assignment
1-532109338,Accepted,In Progress
1-532109338,Accepted,Wait - User
1-532109338,Queued,Awaiting Assignment
1-532109338,Accepted,In Progress
1-532109338,Queued,Awaiting Assignment
1-532109338,Accepted,In Progress
1-532109338,Queued,Awaiting Assignment
1-532109338,Accepted,In Progress
1-532109338,Accepted,Assigned
1-532109338,Accepted,In Progress
1-532109338,Accepted,Wait
1-532109338,Accepted,In Progress
1-532109338,Completed,Resolved
1-532109338,Completed,Closed
1-536444735,Accepted,In Progress
1-536444735,Accepted,In Progress
1-536444735,Queued,Awaiting Assignment
1-536444735,Accepted,In Progress
1-536444735,Queued,Awaiting Assignment
1-536444735,Accepted,In Progress
1-536444735,Queued,Awaiting Assignment
1-536444735,Accepted,In Progress
1-536444735,Accepted,Assigned
1-536444735,Accepted,In Progress
1-536444735,Accepted,Wait
1-536444735,Accepted,In Progress
1-536444735,Completed,Resolved
1-536444735,Completed,Closed
1-536481337,Accepted,In Progress
1-536481337,Accepted,In Progress
1-536481337,Queued,Awaiting Assignment
1-536481337,Accepted,In Progress
1-536481337,Queued,Awaiting Assignment
1-536481337,Accepted,In Progress
1-536481337,Accepted,Wait - User
1-536481337,Accepted,In Progress
1-536481337,Queued,Awaiting Assignment
1-536481337,Accepted,In Progress
1-536481337,Queued,Awaiting Assignment
1-536481337,Accepted,In Progress
1-536481337,Queued,Awaiting Assignment
1-536481337,Accepted,In Progress
1-536481337,Accepted,Assigned
1-536481337,Accepted,In Progress
1-536481337,Accepted,Wait
1-536481337,Accepted,In Progress
1-536481337,Completed,Resolved
1-536481337,Completed,Closed
1-537219938,Accepted,In Progress
1-537219938,Accepted,In Progress
1-537219938,Queued,Awaiting Assignment
1-537219938,Accepted,In Progress
1-537219938,Queued,Awaiting Assignment
1-537219938,Accepted,In Progress
1-537219938,Queued,Awaiting Assignment
1-537219938,Accepted,In Progress
1-537219938,Queued,Awaiting Assignment
1-537219938,Accepted,In Progress
1-537219938,Accepted,In Progress
1-537219938,Queued,Awaiting Assignment
1-537219938,Accepted,In Progress
1-537219938,Queued,Awaiting Assignment
1-537219938,Accepted,In Progress
1-537219938,Queued,Awaiting Assignment
1-537219938,Accepted,In Progress
1-537219938,Completed,Resolved
1-537219938,Completed,Closed
1-540390551,Accepted,In Progress
1-540390551,Accepted,In Progress
1-540390551,Queued,Awaiting Assignment
1-540390551,Accepted,In Progress
1-540390551,Accepted,Wait
1-540390551,Queued,Awaiting Assignment
1-540390551,Accepted,In Progress
1-540390551,Queued,Awaiting Assignment
1-540390551,Accepted,In Progress
1-540390551,Queued,Awaiting Assignment
1-540390551,Accepted,In Progress
1-540390551,Accepted,In Progress
1-540390551,Completed,Resolved
1-540390551,Completed,Closed
1-541468268,Accepted,In Progress
1-541468268,Accepted,In Progress
1-541468268,Queued,Awaiting Assignment
1-541468268,Accepted,In Progress
1-541468268,Queued,Awaiting Assignment
1-541468268,Accepted,In Progress
1-541468268,Queued,Awaiting Assignment
1-541468268,Accepted,In Progress
1-541468268,Accepted,Wait - Implementation
1-541468268,Accepted,In Progress
1-541468268,Completed,Resolved
1-541468268,Completed,Closed
1-543317665,Accepted,In Progress
1-543317665,Accepted,In Progress
1-543317665,Queued,Awaiting Assignment
1-543317665,Accepted,In Progress
1-543317665,Queued,Awaiting Assignment
1-543317665,Accepted,In Progress
1-543317665,Accepted,Wait - User
1-543317665,Accepted,In Progress
1-543317665,Queued,Awaiting Assignment
1-543317665,Accepted,In Progress
1-543317665,Queued,Awaiting Assignment
1-543317665,Queued,Awaiting Assignment
1-543317665,Accepted,In Progress
1-543317665,Queued,Awaiting Assignment
1-543317665,Accepted,In Progress
1-543317665,Queued,Awaiting Assignment
1-543317665,Accepted,In Progress
1-543317665,Queued,Awaiting Assignment
1-543317665,Accepted,In Progress
1-543317665,Accepted,Wait
1-543317665,Accepted,In Progress
1-543317665,Completed,Resolved
1-543317665,Completed,Closed
1-543979253,Accepted,In Progress
1-543979253,Accepted,In Progress
1-543979253,Queued,Awaiting Assignment
1-543979253,Accepted,In Progress
1-543979253,Completed,Resolved
1-543979253,Completed,Closed
1-544969832,Accepted,In Progress
1-544969832,Accepted,In Progress
1-544969832,Queued,Awaiting Assignment
1-544969832,Accepted,In Progress
1-544969832,Queued,Awaiting Assignment
1-544969832,Queued,Awaiting Assignment
1-544969832,Accepted,In Progress
1-544969832,Accepted,Assigned
1-544969832,Accepted,In Progress
1-544969832,Queued,Awaiting Assignment
1-544969832,Accepted,In Progress
1-544969832,Accepted,Wait - Implementation
1-544969832,Accepted,In Progress
1-544969832,Completed,Resolved
1-544969832,Completed,Closed
1-544976636,Accepted,In Progress
1-544976636,Accepted,In Progress
1-544976636,Queued,Awaiting Assignment
1-544976636,Accepted,In Progress
1-544976636,Queued,Awaiting Assignment
1-544976636,Accepted,In Progress
1-544976636,Queued,Awaiting Assignment
1-544976636,Accepted,In Progress
1-544976636,Queued,Awaiting Assignment
1-544976636,Accepted,In Progress
1-544976636,Accepted,Wait - Implementation
1-544976636,Accepted,In Progress
1-544976636,Completed,Resolved
1-544976636,Completed,Closed
1-550213097,Accepted,In Progress
1-550213097,Accepted,In Progress
1-550213097,Accepted,Wait - User
1-550213097,Queued,Awaiting Assignment
1-550213097,Queued,Awaiting Assignment
1-550213097,Accepted,In Progress
1-550213097,Queued,Awaiting Assignment
1-550213097,Accepted,In Progress
1-550213097,Accepted,Wait - User
1-550213097,Queued,Awaiting Assignment
1-550213097,Accepted,In Progress
1-550213097,Queued,Awaiting Assignment
1-550213097,Queued,Awaiting Assignment
1-550213097,Accepted,In Progress
1-550213097,Accepted,Wait
1-550213097,Accepted,Wait - User
1-550213097,Queued,Awaiting Assignment
1-550213097,Accepted,In Progress
1-550213097,Queued,Awaiting Assignment
1-550213097,Accepted,In Progress
1-550213097,Accepted,Wait
1-550213097,Queued,Awaiting Assignment
1-550213097,Accepted,In Progress
1-550213097,Accepted,Wait - Implementation
1-550213097,Accepted,In Progress
1-550213097,Completed,Resolved
1-550213097,Completed,Closed
1-557297151,Accepted,In Progress
1-557297151,Accepted,In Progress
1-557297151,Queued,Awaiting Assignment
1-557297151,Accepted,In Progress
1-557297151,Queued,Awaiting Assignment
1-557297151,Queued,Awaiting Assignment
1-557297151,Accepted,In Progress
1-557297151,Accepted,Assigned
1-557297151,Accepted,In Progress
1-557297151,Accepted,Wait - User
1-557297151,Queued,Awaiting Assignment
1-557297151,Accepted,In Progress
1-557297151,Queued,Awaiting Assignment
1-557297151,Accepted,In Progress
1-557297151,Queued,Awaiting Assignment
1-557297151,Accepted,In Progress
1-557297151,Accepted,Wait - Implementation
1-557297151,Accepted,In Progress
1-557297151,Completed,Resolved
1-557297151,Completed,Closed
1-559795575,Queued,Awaiting Assignment
1-559795575,Queued,Awaiting Assignment
1-559795575,Accepted,In Progress
1-559795575,Queued,Awaiting Assignment
1-559795575,Accepted,In Progress
1-559795575,Accepted,Wait - User
1-559795575,Accepted,In Progress
1-559795575,Queued,Awaiting Assignment
1-559795575,Accepted,In Progress
1-559795575,Queued,Awaiting Assignment
1-559795575,Accepted,In Progress
1-559795575,Queued,Awaiting Assignment
1-559795575,Accepted,In Progress
1-559795575,Queued,Awaiting Assignment
1-559795575,Accepted,In Progress
1-559795575,Queued,Awaiting Assignment
1-559795575,Accepted,In Progress
1-559795575,Queued,Awaiting Assignment
1-559795575,Accepted,In Progress
1-559795575,Accepted,Wait - User
1-559795575,Accepted,Assigned
1-559795575,Accepted,In Progress
1-559795575,Accepted,Wait - User
1-559795575,Accepted,In Progress
1-559795575,Completed,Resolved
1-559795575,Completed,Closed
1-565045794,Accepted,In Progress
1-565045794,Accepted,In Progress
1-565045794,Accepted,Wait - Implementation
1-565045794,Accepted,In Progress
1-565045794,Queued,Awaiting Assignment
1-565045794,Accepted,In Progress
1-565045794,Accepted,Wait - User
1-565045794,Queued,Awaiting Assignment
1-565045794,Accepted,In Progress
1-565045794,Accepted,Assigned
1-565045794,Accepted,In Progress
1-565045794,Accepted,Wait - User
1-565045794,Accepted,In Progress
1-565045794,Queued,Awaiting Assignment
1-565045794,Accepted,In Progress
1-565045794,Queued,Awaiting Assignment
1-565045794,Accepted,In Progress
1-565045794,Accepted,Assigned
1-565045794,Accepted,In Progress
1-565045794,Accepted,Wait - User
1-565045794,Queued,Awaiting Assignment
1-565045794,Accepted,In Progress
1-565045794,Accepted,Assigned
1-565045794,Accepted,In Progress
1-565045794,Accepted,Wait
1-565045794,Accepted,In Progress
1-565045794,Queued,Awaiting Assignment
1-565045794,Accepted,In Progress
1-565045794,Accepted,Wait - User
1-565045794,Completed,Resolved
1-565045794,Completed,Closed
1-567358917,Accepted,In Progress
1-567358917,Accepted,In Progress
1-567358917,Queued,Awaiting Assignment
1-567358917,Accepted,In Progress
1-567358917,Queued,Awaiting Assignment
1-567358917,Queued,Awaiting Assignment
1-567358917,Accepted,In Progress
1-567358917,Queued,Awaiting Assignment
1-567358917,Accepted,In Progress
1-567358917,Accepted,Wait - Implementation
1-567358917,Accepted,In Progress
1-567358917,Completed,Resolved
1-567358917,Completed,Closed
1-577292898,Accepted,In Progress
1-577292898,Accepted,In Progress
1-577292898,Queued,Awaiting Assignment
1-577292898,Accepted,In Progress
1-577292898,Queued,Awaiting Assignment
1-577292898,Accepted,In Progress
1-577292898,Queued,Awaiting Assignment
1-577292898,Accepted,In Progress
1-577292898,Accepted,Wait
1-577292898,Queued,Awaiting Assignment
1-577292898,Accepted,In Progress
1-577292898,Queued,Awaiting Assignment
1-577292898,Accepted,In Progress
1-577292898,Queued,Awaiting Assignment
1-577292898,Accepted,In Progress
1-577292898,Accepted,Wait - Implementation
1-577292898,Accepted,In Progress
1-577292898,Completed,Resolved
1-577292898,Completed,Closed
1-578864726,Accepted,In Progress
1-578864726,Accepted,In Progress
1-578864726,Accepted,In Progress
1-578864726,Queued,Awaiting Assignment
1-578864726,Accepted,In Progress
1-578864726,Queued,Awaiting Assignment
1-578864726,Accepted,In Progress
1-578864726,Completed,Resolved
1-578864726,Queued,Awaiting Assignment
1-578864726,Accepted,In Progress
1-578864726,Queued,Awaiting Assignment
1-578864726,Accepted,In Progress
1-578864726,Completed,Resolved
1-578864726,Completed,Closed
1-580893958,Accepted,In Progress
1-580893958,Accepted,In Progress
1-580893958,Queued,Awaiting Assignment
1-580893958,Accepted,In Progress
1-580893958,Accepted,Wait
1-580893958,Accepted,In Progress
1-580893958,Queued,Awaiting Assignment
1-580893958,Accepted,In Progress
1-580893958,Queued,Awaiting Assignment
1-580893958,Accepted,In Progress
1-580893958,Queued,Awaiting Assignment
1-580893958,Queued,Awaiting Assignment
1-580893958,Accepted,In Progress
1-580893958,Queued,Awaiting Assignment
1-580893958,Accepted,In Progress
1-580893958,Accepted,Wait - Implementation
1-580893958,Accepted,In Progress
1-580893958,Completed,Resolved
1-580893958,Completed,Closed
1-580987781,Queued,Awaiting Assignment
1-580987781,Queued,Awaiting Assignment
1-580987781,Accepted,In Progress
1-580987781,Accepted,Wait - User
1-580987781,Accepted,In Progress
1-580987781,Accepted,Wait - User
1-580987781,Accepted,In Progress
1-580987781,Completed,Resolved
1-580987781,Completed,Closed
1-583200733,Accepted,In Progress
1-583200733,Accepted,In Progress
1-583200733,Accepted,Wait - User
1-583200733,Accepted,Wait - User
1-583200733,Accepted,In Progress
1-583200733,Accepted,Wait
1-583200733,Accepted,In Progress
1-583200733,Completed,In Call
1-587101946,Accepted,In Progress
1-587101946,Accepted,In Progress
1-587101946,Queued,Awaiting Assignment
1-587101946,Accepted,In Progress
1-587101946,Accepted,Wait - User
1-587101946,Accepted,In Progress
1-587101946,Accepted,Wait - Implementation
1-587101946,Accepted,Wait - User
1-587101946,Accepted,In Progress
1-587101946,Queued,Awaiting Assignment
1-587101946,Accepted,In Progress
1-587101946,Completed,Resolved
1-587101946,Completed,Closed
1-593737913,Accepted,In Progress
1-593737913,Accepted,In Progress
1-593737913,Accepted,Wait
1-593737913,Accepted,Wait
1-593737913,Accepted,In Progress
1-593737913,Accepted,Wait
1-593737913,Accepted,In Progress
1-593737913,Accepted,Wait
1-593737913,Accepted,In Progress
1-593737913,Completed,Resolved
1-593737913,Completed,Closed
1-594260021,Accepted,In Progress
1-594260021,Accepted,In Progress
1-594260021,Queued,Awaiting Assignment
1-594260021,Accepted,In Progress
1-594260021,Queued,Awaiting Assignment
1-594260021,Queued,Awaiting Assignment
1-594260021,Accepted,In Progress
1-594260021,Queued,Awaiting Assignment
1-594260021,Accepted,In Progress
1-594260021,Accepted,Wait - Implementation
1-594260021,Accepted,In Progress
1-594260021,Completed,Resolved
1-594260021,Completed,Closed
1-597436480,Accepted,In Progress
1-597436480,Accepted,In Progress
1-597436480,Queued,Awaiting Assignment
1-597436480,Accepted,In Progress
1-597436480,Queued,Awaiting Assignment
1-597436480,Queued,Awaiting Assignment
1-597436480,Accepted,In Progress
1-597436480,Accepted,Wait
1-597436480,Accepted,Wait
1-597436480,Accepted,In Progress
1-597436480,Accepted,Wait
1-597436480,Accepted,In Progress
1-597436480,Accepted,Wait - Vendor
1-597436480,Completed,Resolved
1-597436480,Completed,Closed
1-601328051,Accepted,In Progress
1-601328051,Accepted,In Progress
1-601328051,Queued,Awaiting Assignment
1-601328051,Accepted,In Progress
1-601328051,Accepted,Assigned
1-601328051,Accepted,In Progress
1-601328051,Accepted,Assigned
1-601328051,Accepted,In Progress
1-601328051,Completed,Resolved
1-601328051,Completed,Closed
1-603556351,Accepted,In Progress
1-603556351,Accepted,In Progress
1-603556351,Accepted,Assigned
1-603556351,Accepted,In Progress
1-603556351,Queued,Awaiting Assignment
1-603556351,Accepted,In Progress
1-603556351,Accepted,Assigned
1-603556351,Accepted,In Progress
1-603556351,Accepted,Wait - User
1-603556351,Completed,Resolved
1-603556351,Completed,Closed
1-603749197,Accepted,In Progress
1-603749197,Accepted,In Progress
1-603749197,Queued,Awaiting Assignment
1-603749197,Accepted,In Progress
1-603749197,Queued,Awaiting Assignment
1-603749197,Accepted,In Progress
1-603749197,Queued,Awaiting Assignment
1-603749197,Accepted,In Progress
1-603749197,Queued,Awaiting Assignment
1-603749197,Accepted,In Progress
1-603749197,Accepted,Wait - User
1-603749197,Accepted,In Progress
1-603749197,Accepted,Wait
1-603749197,Accepted,Wait
1-603749197,Accepted,In Progress
1-603749197,Completed,Resolved
1-603749197,Completed,Closed
1-604144478,Accepted,In Progress
